country,year,gdp_per_capita,internet_users_pct,population,electricity_kwh_pc
Burundi,2024,219.424830882698,8.595999718,14047786.0,717.5944940526346
China,2024,13303.1481543868,92.0,1408975000.0,8388.519553930113
Kazakhstan,2024,14154.6324958076,93.39167254,20592571.0,8388.519553930113
Kenya,2024,2132.43452097647,34.97622513,56432944.0,195.293727720461
"Korea, Rep.",2024,36238.639908315,97.89563777,51751065.0,11350.1625522103
Sri Lanka,2024,4515.56787322732,54.59,21916000.0,2634.862251084238
Spain,2024,35326.7683069278,95.7574516,48848840.0,5196.11110519718
"Somalia, Fed. Rep.",2024,629.538899449007,27.94020081,19009151.0,717.5944940526346
Slovenia,2024,34301.0318686594,90.76355487,2127400.0,6449.65685813669
Slovak Republic,2024,25992.6748502048,89.82507032,5422069.0,4674.59930886162
Singapore,2024,90674.066632628,94.37757178,6036860.0,8388.519553930113
Sweden,2024,57117.4877440616,95.52930428,10569709.0,12226.2590199976
Sierra Leone,2024,806.654650417726,25.10499954,8642022.0,717.5944940526346
Senegal,2024,1773.21829923448,60.11780167,18501984.0,717.5944940526346
Saudi Arabia,2024,35121.6628687742,100.0,35300280.0,8388.519553930113
Rwanda,2024,999.65456165547,31.70330048,14256567.0,717.5944940526346
Russian Federation,2024,14889.0185546875,94.36495368,143533851.0,8388.519553930113
Romania,2024,20080.2096215595,91.29048551,19051804.0,8388.519553930113
Qatar,2024,76688.6941743178,98.08540344,2857822.0,8388.519553930113
Serbia,2024,13679.2065983557,87.69071294,6586476.0,8388.519553930113
Portugal,2024,29292.242104753,88.48704454,10694681.0,5293.84653922824
Switzerland,2024,103998.186685604,97.3443985,9005582.0,7117.25238857411
Tanzania,2024,1186.71691894531,31.16209984,68560157.0,717.5944940526346
Zambia,2024,1187.10943350064,17.10099983,21314956.0,717.5944940526346
Viet Nam,2024,4717.29028732449,84.15,100987686.0,2634.862251084238
"Venezuela, RB",2024,4217.59102643391,76.67890167,28405543.0,717.5944940526346
Uzbekistan,2024,3161.70010632875,89.50550079,36361859.0,717.5944940526346
Uruguay,2024,23906.5133029408,91.99109007,3386588.0,8388.519553930113
United States,2024,84534.0407841548,94.69380188,340110988.0,12835.2954006884
Tajikistan,2024,1341.20229027672,55.79339981,10590927.0,717.5944940526346
United Kingdom,2024,53246.3676145108,95.4720993,69226000.0,4198.22032184439
Ukraine,2024,5389.47314453125,82.47489929,37860221.0,2634.862251084238
Uganda,2024,1077.91278452817,8.949831061,50015092.0,717.5944940526346
Turkiye,2024,15892.7157287241,87.3078767,85518661.0,3730.82314747655
Tunisia,2024,4181.13789301228,76.5,12277109.0,717.5944940526346
Togo,2024,1119.38160509429,39.48320007,9515236.0,717.5944940526346
Thailand,2024,7346.62022142185,90.86718789,71668011.0,2634.862251084238
United Arab Emirates,2024,50273.5060469837,100.0,10986400.0,8388.519553930113
Poland,2024,25103.565661423,88.58496367,36559233.0,4369.59385882083
Peru,2024,8452.37167056621,81.95705992,34217848.0,2634.862251084238
Mauritius,2024,11990.7798944837,73.30793533,1245779.0,8388.519553930113
Mauritania,2024,2110.12036938187,45.77939987,5169395.0,717.5944940526346
Mali,2024,1094.61949265799,36.80149841,24478595.0,717.5944940526346
Malaysia,2024,11874.4273684245,98.0206059,35557673.0,8388.519553930113
Malawi,2024,522.570393642547,18.96159935,21655286.0,717.5944940526346
Madagascar,2024,544.987501003384,18.67790031,31964956.0,717.5944940526346
Mexico,2024,14185.7812248529,83.12233799,130861007.0,2658.04923845649
Lithuania,2024,29384.0189598663,89.16116293,2888278.0,4387.04307549343
Liberia,2024,851.497723870206,32.23360062,5612817.0,717.5944940526346
Lesotho,2024,971.90771824829,51.79660034,2337423.0,717.5944940526346
Latvia,2024,23409.0845154775,92.70757011,1866124.0,3767.70246778885
Lao PDR,2024,2123.97909415109,65.59269714,7769819.0,717.5944940526346
Kyrgyz Republic,2024,2420.18542283831,92.0286026,7221868.0,717.5944940526346
Kuwait,2024,32717.7186631255,99.74729919,4897263.0,8388.519553930113
Libya,2024,6569.16408678648,81.95449829,7381023.0,2634.862251084238
Philippines,2024,3984.8315387656,67.26300914,115843670.0,717.5944940526346
Moldova,2024,7576.19589413326,77.3687973,2402306.0,2634.862251084238
Morocco,2024,4153.1943359375,91.2,38081173.0,717.5944940526346
Paraguay,2024,6416.09708970845,81.57806793,6929153.0,2634.862251084238
Papua New Guinea,2024,3006.70564478923,18.81159973,10576502.0,717.5944940526346
Panama,2024,19161.2188501596,72.77149963,4515577.0,8388.519553930113
Pakistan,2024,1478.77277977996,57.253,251269164.0,717.5944940526346
Oman,2024,20285.2272897377,95.25174678,5281538.0,8388.519553930113
Norway,2024,86785.4334489176,99.0,5572279.0,23673.0788246604
Mongolia,2024,6750.6301157724,85.12349701,3524788.0,2634.862251084238
Nigeria,2024,1084.16041805436,41.21139908,232679478.0,717.5944940526346
Nicaragua,2024,2847.53966339498,61.39550018,6916140.0,717.5944940526346
New Zealand,2024,49205.1792146792,93.51930237,5287500.0,7992.62411347518
Netherlands,2024,67520.4218956281,97.00679779,17993485.0,6386.36706563515
Nepal,2024,1447.31004458428,46.32189941,29651054.0,717.5944940526346
Namibia,2024,4413.12752211572,64.87460327,3030131.0,2634.862251084238
Mozambique,2024,656.776824637306,20.52729988,34631766.0,717.5944940526346
Niger,2024,735.270255787226,15.55760002,27032412.0,717.5944940526346
Small states,2024,15383.3425638674,72.5,20193405.0,8388.519553930113
